# KAPUTNIK Flight Data v5
# Sample rate: 500 Hz
# Samples: 4989
# Accel range: +/-16 g
# Gyro range: +/-2000 dps
# Epoch start: 1776861866105
epoch_us,ax,ay,az,gx,gy,gz,gp14,mx,my,mz,mag_valid
1776866152814569,25,17,0,0,0,0,169,1471,7680,3576,0
1776866152749023,25,17,0,0,0,0,121,1479,7168,3320,0
1776866152617959,26,16,0,0,0,0,73,1487,7168,3064,0
1776866152617965,28,16,0,0,0,0,25,1495,7936,3064,0
1776866152617955,28,17,0,0,0,0,233,1502,7680,3576,0
1776866152683496,25,14,0,0,0,0,185,1510,7936,3576,0
1776866152683492,24,14,0,0,0,0,137,1518,8192,2808,0
1776866152617947,24,15,0,0,0,0,255,-1,-1,-1,255
1776866161072295,-1,-1,-2471,5,-2024,7,61,32255,6143,3584,0
1776861866105000,0,0,-17921,6,-2022,5,59,32511,6143,4096,0
1776861866105000,0,0,-15921,6,-2023,6,49,-32513,6143,4096,0
1776861866105000,0,0,-13921,6,-2025,9,63,-32001,6399,3584,0
1776861866105000,0,0,-11921,6,-2028,5,68,-32257,6399,3584,0
1776861866105000,0,0,-9921,6,-2028,7,64,-32513,6911,3584,0
1776861866105000,0,0,-7921,6,-2018,7,68,-32257,6911,4096,0
1776861866105000,0,0,-5921,6,-2019,9,64,-32513,6911,4352,0
1776861866105000,0,0,-3921,6,-2022,10,60,32767,6655,4096,0
1776861866105000,0,0,-1921,6,-2020,8,59,-32257,6399,4352,0
1776861866105000,0,0,-1,-1,-1,-1,255,-1,-1,-1,255
1776861866563831,-2020,7,-196,-127,23,16,0,0,0,0,0
1776861866565831,-2020,6,-193,-128,25,15,0,0,0,0,0
1776861866567831,-2020,5,-191,-129,27,17,0,0,0,0,0
1776861866569831,-2020,7,-195,-129,25,19,0,0,0,0,0
1776861866571831,-2021,10,-195,-129,26,17,0,0,0,0,0
1776861866573831,-2023,13,-197,-127,25,16,0,0,0,0,0
1776861866575831,-2022,9,-192,-128,26,14,0,0,0,0,0
1776861866577831,-2021,12,-192,-129,28,14,0,0,0,0,0
1776861866579831,-2020,12,-192,-128,27,17,0,0,0,0,0
1776861866581831,-2024,14,-201,-129,27,17,0,0,0,0,0
1776866161072295,-1,-1,-1,-1,-1,-1,111,1870,6400,2040,0
1776866152749036,25,17,0,0,0,0,63,1878,6912,2552,0
1776866152749036,23,16,0,0,0,0,15,1886,4608,3832,0
1776866152683501,25,16,0,0,0,0,223,1893,5376,2552,0
1776866152749032,25,16,0,0,0,0,175,1901,6400,3576,0
1776866152880099,25,16,0,0,0,0,127,1909,6400,3832,0
1776866152617961,25,17,0,0,0,0,79,1917,5888,3576,0
1776866152683495,24,17,0,0,0,0,31,1925,4864,3064,0
1776866152814573,24,16,0,0,0,0,239,1932,5888,3320,0
1776866152749038,22,16,0,0,0,0,191,1940,6400,3064,0
1776866152683499,25,16,0,0,0,0,255,-1,-1,-1,255
1776866161072295,-1,-1,-25457,7,-2024,15,63,32767,6655,4096,0
1776861866105000,0,0,-23456,7,-2021,12,61,-32513,6655,4096,0
1776861866105000,0,0,-21456,7,-2023,13,65,-32257,6655,4096,0
1776861866105000,0,0,-19456,7,-2018,12,77,-32513,6399,4352,0
1776861866105000,0,0,-17456,7,-2019,10,75,32511,6143,4096,0
1776861866105000,0,0,-15456,7,-2018,14,61,32511,6399,3840,0
1776861866105000,0,0,-13456,7,-2013,20,62,32767,6655,3840,0
1776861866105000,0,0,-11456,7,-2020,15,64,32511,6911,3840,0
1776861866105000,0,0,-9456,7,-2022,8,63,32511,6911,4096,0
1776861866105000,0,0,-7456,7,-2026,7,64,32511,6911,3840,0
1776861866105000,0,0,-1,-1,-1,-1,255,-1,-1,-1,255
1776861866623832,-2025,8,-192,-129,26,16,0,0,0,0,0
1776861866625832,-2022,10,-192,-129,25,16,0,0,0,0,0
1776861866627832,-2023,8,-200,-127,25,17,0,0,0,0,0
1776861866629832,-2024,12,-191,-127,26,18,0,0,0,0,0
1776861866631832,-2023,10,-179,-126,24,16,0,0,0,0,0
1776861866633832,-2021,6,-187,-126,23,16,0,0,0,0,0
1776861866635832,-2022,10,-186,-129,23,15,0,0,0,0,0
1776861866637832,-2024,9,-195,-129,26,15,0,0,0,0,0
1776861866639832,-2025,9,-199,-127,26,15,0,0,0,0,0
1776861866641832,-2019,12,-194,-128,27,15,0,0,0,0,0
1776866161072295,-1,-1,-1,-1,-1,-1,208,2104,6912,2808,0
1776866152683498,25,15,0,0,0,0,160,2112,6144,2296,0
1776866152749026,25,15,0,0,0,0,112,2120,6400,1784,0
1776866152683492,26,15,0,0,0,0,64,2128,5888,1016,0
1776866152617956,24,16,0,0,0,0,16,2136,5632,1784,0
1776866152617960,23,16,0,0,0,0,224,2143,5376,1784,0
1776866152683498,24,17,0,0,0,0,176,2151,4864,2552,0
1776866152749033,24,16,0,0,0,0,128,2159,4864,2808,0
1776866152814568,25,16,0,0,0,0,80,2167,6656,1784,0
1776866152880102,25,17,0,0,0,0,32,2175,6912,3320,0
1776866152945643,22,17,0,0,0,0,255,-1,-1,-1,255
1776866161072295,-1,-1,-30992,8,-2016,7,72,-32257,5887,4096,0
1776861866105000,0,0,-28992,8,-2017,13,79,-32257,6143,4096,0
1776861866105000,0,0,-26992,8,-2026,10,75,-32257,6655,3840,0
1776861866105000,0,0,-24992,8,-2023,11,79,-32513,6911,4096,0
1776861866105000,0,0,-22992,8,-2021,14,69,32767,6655,4608,0
1776861866105000,0,0,-20992,8,-2021,9,65,-32001,6911,4352,0
1776861866105000,0,0,-18992,8,-2023,10,64,-32257,6911,4352,0
1776861866105000,0,0,-16992,8,-2024,9,62,-32513,6911,4608,0
1776861866105000,0,0,-14992,8,-2026,13,73,-32257,6655,4608,0
1776861866105000,0,0,-12992,8,-2024,8,61,-32257,6911,4352,0
1776861866105000,0,0,-1,-1,-1,-1,255,-1,-1,-1,255
1776861866683832,-2020,9,-191,-128,25,17,0,0,0,0,0
1776861866685832,-2024,8,-194,-126,23,17,0,0,0,0,0
